TF,Clustered_Row_Order,Clustered_Col_Order
AHR,19,19
ASXL1,1,1
BACH2,11,11
BATF,51,51
BCL2,6,6
BHLHE40,46,46
BRD4,2,2
BRD7,39,39
CBLB,43,43
CREM,28,28
DNMT3A,9,9
EOMES,44,44
ETS1,10,10
EZH2,34,34
FOS,20,20
FOXO1,23,23
FOXO3,26,26
FOXP1,14,14
GATA3,24,24
HAVCR2,36,36
HDAC1,37,37
HDAC2,54,54
HDAC3,35,35
HDAC4,4,4
ID2,47,47
IKZF1,48,48
IKZF2,50,50
IKZF3,40,40
IRF9,8,8
JUN,16,16
JUNB,13,13
KLF2,21,21
KLF7,17,17
KLHL22,5,5
LEF1,15,15
MAF,30,30
MDM2,27,27
NFATC1,0,0
NFATC2,49,49
NFATC3,38,38
NR4A2,29,29
NR4A3,31,31
PIM2,3,3
PRDM1,52,52
RBPJ,25,25
RUNX1,55,55
RUNX3,32,32
SIRT2,45,45
STAT3,18,18
STAT5A,33,33
STAT5B,7,7
TBX21,41,41
TCF7,12,12
TET2,53,53
TOX,56,56
ZEB1,22,22
ZEB2,42,42
