feature,mean_group1,mean_group2,delta_mean,effect_size
CD45RA,2.9151214456975407,1.7343513764619343,1.1807700692356065,1.1630206259508775
TCRab,3.796838808706977,3.061415711858561,0.7354230968484159,1.0592020059420946
CD39,2.579163416036025,1.5480357740777928,1.0311276419582323,1.049295208856722
KLRG1.1,2.631019547535283,1.8613399020403616,0.7696796454949215,0.948903999784927
IL7RA,3.4427937628537535,2.4103720803815856,1.032421682472168,0.87419895925891
TCRgd,2.241306561270988,1.3978876576311237,0.8434189036398645,0.8720254248526964
2B4,3.8514725869788617,3.1810107979835904,0.6704617889952713,0.8608071534639896
LAG3.1,3.0666464353517124,2.1041280300698855,0.962518405281827,0.8428962770934381
CX3CR1.1,3.786823029923178,2.7506747499456643,1.036148279977514,0.809378646633166
OX40,3.2818514879387233,2.4154751908896084,0.8663762970491149,0.7940439703822639
CCR7.1,1.020147087808758,0.5055343736578187,0.5146127141509392,0.7698745664757707
CTLA4.1,2.906765034283866,2.101913308122639,0.8048517261612269,0.7500700567002577
CD4.1,3.1442799042289944,2.3356772867527544,0.80860261747624,0.7493981544209832
Tim3,2.7510893064852957,1.9991906440524712,0.7518986624328245,0.7477041423344499
CD25,2.8672759019746756,2.0686171303466527,0.7986587716280229,0.7445306642932497
TIGIT.1,2.262250877607497,1.6487126233215508,0.6135382542859464,0.7408242646305357
CD57,3.4694585620091236,2.7717619672354683,0.6976965947736553,0.7151050386876724
CD103,2.5132049657215147,1.8264731512964614,0.6867318144250534,0.7116936904200091
CD161,2.3011654164884843,1.6799211994701146,0.6212442170183696,0.6958210912814095
CD70.1,1.8145791474719302,1.3412137465091547,0.47336540096277546,0.6828488019400717
41BB,3.3636105654587833,2.687792450055932,0.6758181154028513,0.6697133631089178
CD62L,2.7401865379238446,2.198977882430472,0.5412086554933726,0.6102448396205233
CD16,1.9053656657022486,1.425893790265997,0.4794718754362517,0.5929587529831658
Fas,3.3301627674429852,2.84991310643118,0.48024966101180544,0.5817064910364299
PD1,3.533798526581521,3.065080615355332,0.468717911226189,0.5706845227591932
CD28.1,3.9504104894602494,3.5104625494200126,0.43994794004023685,0.5334694204918476
CD14.1,3.3152674457104077,2.833776910838269,0.48149053487213855,0.4900956373529993
CAR,0.7112066975204249,0.11556287391530014,0.5956438236051247,0.4242032948057222
CD69.1,2.5549769853042457,2.221245933434175,0.3337310518700707,0.3842989088736417
CD27.1,4.762367681487082,4.608355162998989,0.15401251848809316,0.1730434919322435
CD45RO,4.039699220112869,4.101247062379204,-0.06154784226633492,-0.08100530051955791
CD8A.1,6.268377739017715,6.450569148454051,-0.18219140943633594,-0.2277914808210555
