gene_set,NES,pval,celltype_new
Interferon_Response,1.6698105375671428,0.00398406374501992,CD4+ Mem Patient 2
Activation_TCR,1.4896306380034954,0.00796812749003984,CD4+ Mem Patient 2
Memory_Stemlike,1.1897131092512994,0.1752988047808765,CD4+ Mem Patient 2
Proliferation,1.0300813345771067,0.30278884462151395,CD4+ Mem Patient 2
Apoptosis_Stress,0.9997761097669229,0.3386454183266932,CD4+ Mem Patient 2
Cytotoxicity,-1.1146331577256832,0.09163346613545817,CD4+ Mem Patient 2
Exhaustion,-1.6785530157931732,0.01195219123505976,CD4+ Mem Patient 2
Interferon_Response,1.7523332631322264,0.00796812749003984,CD4+ EOMEShi
Cytotoxicity,1.2578394717094512,0.055776892430278883,CD4+ EOMEShi
Apoptosis_Stress,0.893497794331164,0.16334661354581673,CD4+ EOMEShi
Proliferation,0.6551696215997157,0.26693227091633465,CD4+ EOMEShi
Memory_Stemlike,-0.9122884434171512,0.38247011952191234,CD4+ EOMEShi
Activation_TCR,-1.2454295603961099,0.10358565737051793,CD4+ EOMEShi
Exhaustion,-1.479750288065572,0.0199203187250996,CD4+ EOMEShi
