celltype_new,group_nint,Exhaustion_score,Activation_TCR_score,Memory_Stemlike_score,Cytotoxicity_score,Proliferation_score,Interferon_Response_score,Apoptosis_Stress_score
CD4+ Control,Control,-0.0409878307402967,0.30580286969188386,0.30095761149525924,0.18922750794548474,-0.05253503216237047,0.0014950101986060437,-0.05619095959348309
CD4+ Control,CL_No NINT,-0.026129933523323264,0.23974867972709793,0.21340416978095497,0.06992590406122362,-0.060852323791021075,-0.040117441663437926,-0.11403375886369405
CD4+ Control,CL_NINT,-0.040131201670988215,0.33187703154001624,0.3047886176911995,0.06559364671993063,-0.05528133926998307,-0.01895879228460012,-0.09683275879598938
CD4+ EOMEShi,Control,0.005331619317999488,0.2685322332956928,0.04304316902869919,0.44897051526731874,-0.010239096051507409,0.06932391360610515,-0.041108711872409075
CD4+ EOMEShi,CL_No NINT,0.004647015873517627,0.2729994115095767,-0.0010207912811442277,0.3433120426779258,-0.02112363428949962,0.00043091578002889426,-0.08694900513275393
CD4+ EOMEShi,CL_NINT,-0.011874827880898204,0.2465670495012926,-0.003126425973222707,0.36300270880193963,-0.004468620318758002,0.03350730158233833,-0.07963159991096361
CD4+ Eff PRDM1hi,Control,-0.010604388751077824,0.3920170629318464,0.11159682448468154,0.21580319831974776,-0.03333651242212703,-0.04085523224075232,-0.04189744799169604
CD4+ Eff PRDM1hi,CL_No NINT,-0.016666151252992725,0.482883890661034,0.07020670156155652,0.17747567596152602,-0.022174875716662844,-0.07092528519117866,0.012237071481397056
CD4+ Eff PRDM1hi,CL_NINT,-0.018076814839693978,0.5009010228976937,0.07738365520524008,0.1371228417712466,-0.0335769055492879,-0.05279654825912047,0.008481053900095922
CD4+ Mem BCL2hi,Control,-0.029021566511438675,0.5470791735482848,0.5626281778150907,-0.1543119063678617,-0.022559850125864415,-0.0004743012634724799,-0.06945262058916699
CD4+ Mem BCL2hi,CL_No NINT,-0.03175974939799812,0.5986648061986898,0.37297959633257655,-0.16975354685324962,-0.03795857090665742,-0.05424635873109372,-0.054421770374092765
CD4+ Mem BCL2hi,CL_NINT,-0.03100192732211171,0.5784812038930132,0.44967559542489416,-0.1857657873978984,-0.03530424379262,-0.0396792180054218,-0.051744300507769576
CD4+ Mem Patient 2,Control,-0.039514635327192384,0.31749598073431695,0.2413934957505014,0.3961889437880092,-0.04081305587908692,0.06254376974501463,-0.11599340675818562
CD4+ Mem Patient 2,CL_No NINT,-0.020292686710760514,0.24071277298752222,0.1597511367090193,0.23656745691195413,-0.05973192704854341,-0.011920478953122116,-0.12801553816029823
CD4+ Mem Patient 2,CL_NINT,-0.0647237856628678,0.47904513674140103,0.2558349299239042,0.17694715738761402,-0.04310107158789606,0.1643220617667582,-0.11397572110844277
CD4+ Prolif,Control,-0.020923499904953315,0.12412651075724694,-0.08207372843499545,0.2772646140436182,0.9134381544718538,-0.0005682270176439381,-0.08598271401448115
CD4+ Prolif,CL_No NINT,-0.04583843215877263,0.07262462577158131,-0.0628687552498766,0.30993137452480324,0.8602200442990744,-0.038084157711199336,-0.12788403130119544
CD4+ Prolif,CL_NINT,-0.0415830486816693,0.07043225983199268,-0.052118402031087335,0.2446323014949254,0.6291503771641339,0.0036576158919207785,-0.10916670126147565
CD8+ Active,Control,0.0032067547798661417,0.33342115185926213,-0.1448523273842554,0.8361607403555731,-0.027072947071905436,-0.13862720539499357,0.007132940710639425
CD8+ Active,CL_No NINT,-0.013199225254455892,0.41227957633781537,-0.03357799144710955,0.5240957526588864,-0.02474872540342566,-0.10735835722865891,-0.04869942118972319
CD8+ Active,CL_NINT,0.015532855006561205,0.4496077979978603,-0.025029544820803072,0.4484578642804249,-0.03664512971953105,-0.08873929613468966,-0.038294981279811784
CD8+ Memory,Control,0.04044744446967079,0.35687923261519,0.06899090727453859,0.7644131032907515,-0.04062340478492396,0.021646260301180595,-0.09037362303729153
CD8+ Memory,CL_No NINT,0.05049608279314106,0.3402911630657915,-0.008539311214294997,0.6523347825038772,-0.04790799233337587,-0.020164233749989012,-0.08956132161080732
CD8+ Memory,CL_NINT,0.016065597233325086,0.4691397266831746,0.05841399846216425,0.5676325254233989,-0.04444640067113278,0.0018812558706584146,-0.04491285058102769
CD8+ Prolif,Control,0.09492619957189263,0.13293811747153153,-0.1497406730470005,0.955398285533829,0.41698154038349133,-0.002382235967895595,-0.060024514048739645
CD8+ Prolif,CL_No NINT,0.007911849107057908,0.07671558931124335,-0.16843427723496837,0.5042600553484321,0.6995626950066285,-0.041104122526190966,-0.14745244212286662
CD8+ Prolif,CL_NINT,-0.001255453985180213,0.1568727938363925,-0.14002697837632366,0.5797412294295844,0.5789200545088377,-0.02560953891820047,-0.13552324491617787
CD8+ TEMRA,Control,0.04339229372387182,0.30139069463069484,-0.15971599049252727,1.4770624876134153,-0.0182441696352016,-0.011779393200028031,-0.11139432561166385
CD8+ TEMRA,CL_No NINT,0.04450085529281846,0.4010703618591171,-0.12372158844916914,1.173841812341065,-0.049588335942663056,-0.03338587357578728,-0.09343104781456449
CD8+ TEMRA,CL_NINT,0.01968121218308197,0.37637437399419427,-0.06024651893135714,1.205851754882255,-0.024473851119940344,0.012350191397096172,-0.04260161769880674
